0.5000000000 0.0000000000
0.4975923633 0.0490085702
0.4903926402 0.0975451610
0.4784701679 0.1451423386
0.4619397663 0.1913417162
0.4409606322 0.2356983684
0.4157348062 0.2777851165
0.3865052267 0.3171966421
0.3535533906 0.3535533906
0.3171966421 0.3865052267
0.2777851165 0.4157348062
0.2356983684 0.4409606322
0.1913417162 0.4619397663
0.1451423386 0.4784701679
0.0975451610 0.4903926402
0.0490085702 0.4975923633
0.0000000000 0.5000000000
-0.0490085702 0.4975923633
-0.0975451610 0.4903926402
-0.1451423386 0.4784701679
-0.1913417162 0.4619397663
-0.2356983684 0.4409606322
-0.2777851165 0.4157348062
-0.3171966421 0.3865052267
-0.3535533906 0.3535533906
-0.3865052267 0.3171966421
-0.4157348062 0.2777851165
-0.4409606322 0.2356983684
-0.4619397663 0.1913417162
-0.4784701679 0.1451423386
-0.4903926402 0.0975451610
-0.4975923633 0.0490085702
-0.5000000000 0.0000000000
-0.4975923633 -0.0490085702
-0.4903926402 -0.0975451610
-0.4784701679 -0.1451423386
-0.4619397663 -0.1913417162
-0.4409606322 -0.2356983684
-0.4157348062 -0.2777851165
-0.3865052267 -0.3171966421
-0.3535533906 -0.3535533906
-0.3171966421 -0.3865052267
-0.2777851165 -0.4157348062
-0.2356983684 -0.4409606322
-0.1913417162 -0.4619397663
-0.1451423386 -0.4784701679
-0.0975451610 -0.4903926402
-0.0490085702 -0.4975923633
-0.0000000000 -0.5000000000
0.0490085702 -0.4975923633
0.0975451610 -0.4903926402
0.1451423386 -0.4784701679
0.1913417162 -0.4619397663
0.2356983684 -0.4409606322
0.2777851165 -0.4157348062
0.3171966421 -0.3865052267
0.3535533906 -0.3535533906
0.3865052267 -0.3171966421
0.4157348062 -0.2777851165
0.4409606322 -0.2356983684
0.4619397663 -0.1913417162
0.4784701679 -0.1451423386
0.4903926402 -0.0975451610
0.4975923633 -0.0490085702
